# ESE Evaluation Questionnaire for Students
# -----------------------------------------------
# Syntax:
#   {id}; {type}; {parameters}
#
#   {id} identifier for that entry. 
#        IMPORTANT: The id has to be UNIQUE for every entry
#   {type} can be one of the following (including parameters):
#       Headline    =   The headline that is displayed for the questionnaire. There should only be one header.
#                       Takes the text of the header a parameter
#       TextBox     =   A text box where the student has to enter a value.
#                       Takes the label of the text box as a parameter
#       Legend      =   The legend that describes the rating system. There should be at least on legend per form.
#                       Takes no parameters
#       Question    =   A question that has to be answered by the student.
#                       Takes the question as a parameter.
#       Comment     =   A box for comments (It is assumed there is only one such box)
#                       Takes the label of the comment box as a parameter.
#       DropDown    =   Dropdown menu for the tutor
#
#   If fundamental changes are made (other than changing strings or adding/removing questions)
#   The files 'student_questionnaire.php' and 'student_analysis' should be checked for validity,
#   because they rely on some of the ids being present
#------------------------------------------------

# -- Header ---
headline; Headline; ESE 2017

# -- personal Code --
# this is important and should stay so the student can identify himself to the system and receive his cup later on
code; TextBox; Persönlicher Code:

# -- Name of the tutor --
#tutorName; DropDown; Wer war dein Namenspatron?;

# -- Legend --
legend; Legend;

# -- Begin Questions --
#questionid; Question; Questiontext

headlineEroeffnung; Headline; Eröffnungsveranstaltung und Tutorien
eroeffnungRedeStudInhalt; Question; Die Studentische Motivationsrede zur Eröffnungsveranstaltung was inhaltlich optimal.
eroeffnungRedeStudLaenge; Question; Die Studentische Motivationsrede zur Eröffnungsveranstaltung was zeitlich optimal.
eroeffnungRedeAßmannInhalt; Question; Die Rede des Dekans Prof. Aßmann zur Eröffnungsveranstaltung war inhaltlich optimal.
eroeffnungRedeAßmannLaenge; Question; Die Rede des Dekans Prof. Aßmann zur Eröffnungsveranstaltung war zeitlich optimal.
eroeffnungRedeWeberInhalt; Question; Die Rede des Studiendekans Prof. Weber zur Eröffnungsveranstaltung war inhaltlich optimal.
eroeffnungRedeWeberLaenge; Question; Die Rede des Studiendekans Prof. Weber zur Eröffnungsveranstaltung war zeitlich optimal.
eroeffnungESEPreview; Question; Der Kurzüberblick über die ESE zur Eröffnungsveranstaltung war inhaltlich optimal.
eroeffnungTutorienEinteilung; Question; Die Einteilung in die Tutorien zur Eröffnungsveranstaltung war optimal.
eroeffnungGeneral; Question; Mein Gesamteindruck der Eröffnungsveranstaltung
eroeffnungComment; Comment; Das habe ich Außerdem zur Eröffnungsveranstaltung zu sagen:
tutorienInhalt; Question; Das Tutorium war inhaltlich optimal.
tutorienLaenge; Question; Das Tutorium war zeitlich optimal.
tutorienKompetenz; Question; Die Tutoren des Tutoriums haben einen kompetenten Eindruck vermittelt.
tutorienComment; Comment; Das habe ich außerdem zum Tutorium zu sagen:

headlineBunterNachmittag; Headline; Bunter Nachmittag
# TODO: more Questions!
bunterNachmittagGeneral; Question; Mein Gesamteindruck des Bunten Nachmittags
bunterNachmittagName; Comment; Namensvorschlag für den Bunten Nachmittag:

headlineSpieleabend; Headline; Kennenlernspieleabend
spieleabendGeneral; Question; Mein Gesamteindruck des Kennenlernspieleabends:
spieleabendGrillgutAuswahl; Question; Die Auswahlmöglichkeiten des Grillguts waren optimal.
spieleabendGrillgutQualityWurst; Question; Die Qualität der Grillwürstchen war optimal.
spieleabendGrillgutQualitySteak; Question; Die Qualität des Steaks war optimal.
spieleabendGrillgutQualityKaese; Question; Die Qualität des Grillkäses war optimal.
spieleabendGrillgutQualityWedges; Question; Die Qualität der Kartoffelecken war optimal.
spieleabendGrillgutGetränke; Question; Die Getränkeauswahl zum Grillgut war optimal.

headlineWanderung; Headline; Wanderung
wanderungLaenge; Question; Die Länge der Wanderung war optimal.
wanderungSchwierigkeit; Question; Die Schwierigkeit der Wanderung (Steigung etc.) war optimal.
wanderungGespraech; Question; Die Wanderung bat genügend Raum und Zeit für Gespräche.
wanderungRoute; Question; Die Landschaftlichen Aspekte der Wanderung gefielen mir.
wanderungGeneral; Question; Mein Gesamteindruck der Wanderung
wanderungComment; Comment; Das habe ich außerdem zur Wanderung zu sagen:

headlineClubtour; Headline; Clubtour
clubtourGruppengroesse; Question; Die Gruppengröße war optimal.
clubtourGeschwindigkeitLang; Question; Die Verweilzeit in den Clubs war zu lang.
clubtourGeschwindigkeitKurz; Question; Die Verweilzeit in den Clubs war zu kurz.
clubtourGeneral; Question; Mein Gesamteindruck der Clubtour
